Longitud,Latitud,Elevacion
-71.9952376339329,-13.52234627047116,3516.0
-71.99520708323767,-13.52233150800722,3516.0
-71.99517651875877,-13.52231673859385,3516.0
-71.995149397205,-13.52229737110629,3516.0
-71.99512769347581,-13.52228187188027,3516.0
-71.99510944506346,-13.52226178001509,3516.0
-71.99509119491081,-13.52224168554486,3516.0
-71.9950729428695,-13.52222158919755,3516.0
-71.99504036242668,-13.52219831943374,3516.0
-71.99501863539535,-13.52218280111539,3516.0
-71.99500037347678,-13.52216269499015,3516.0
-71.99498210924483,-13.52214258649748,3516.0
-71.99495493453134,-13.52212317515571,3516.0
-71.99493669309547,-13.52210295394053,3516.0
-71.99492392082212,-13.5220864704557,3516.0
-71.99489680003704,-13.52206674215917,3516.0
-71.99486966690287,-13.52204700457804,3516.0
-71.99484252096943,-13.52202725720423,3516.0
-71.9948188660084,-13.52200285109817,3516.0
-71.99479169667322,-13.52198308557335,3516.0
-71.99476991472383,-13.52196744963267,3516.0
-71.99474264010018,-13.52194810598716,3516.0
-71.99472081508364,-13.52193262712389,3516.0
-71.9947025095963,-13.52191244027823,3516.0
-71.99468772596246,-13.52188754685255,3516.0
-71.99467839990989,-13.52186652498164,3516.0
-71.99465110571997,-13.52184716304618,3516.0
-71.9946273325278,-13.5218230936769,3516.0
-71.994603555273,-13.521799021464,3516.0
-71.99458876606585,-13.52177411893821,3516.0
-71.99457044629155,-13.52175391611651,3516.0
-71.99454312911097,-13.52173453325066,3516.0
-71.99452287188251,-13.52170574832489,3516.0
-71.99449907863759,-13.52168165818926,3516.0
-71.99447881684291,-13.52165286735721,3516.0
-71.99445694857874,-13.52163734668732,3516.0
-71.99443121410393,-13.52160466899303,3516.0
-71.99440740707674,-13.52158056412498,3516.0
-71.99438906652728,-13.52156033860281,3516.0
-71.99435978080786,-13.52153234216594,3516.0
-71.99433241866366,-13.52151291820496,3516.0
-71.99431406856189,-13.52149268324568,3516.0
-71.99429024189386,-13.52146855878584,3516.0
-71.99426286398155,-13.5214491216355,3516.0
-71.9942464336385,-13.5214374569137,3516.0
-71.99421359899739,-13.52141346079104,3516.0
-71.99419529841448,-13.5213917460093,3516.0
-71.99417341430922,-13.52137504735214,3516.0
-71.99415317801414,-13.52134408512303,3516.0
-71.99412029618995,-13.5213189869876,3516.0
-71.99409286835997,-13.52129802608658,3516.0
-71.99407448584634,-13.52127597091881,3516.0
-71.99404509460611,-13.52124535315321,3516.0
-71.99402667104287,-13.5212232518721,3516.0
-71.99400823141232,-13.52120113048109,3516.0
-71.99398426469465,-13.5211747038189,3516.0
-71.99396578839196,-13.52115254023785,3516.0
-71.99394729623343,-13.52113035604244,3516.0
-71.99392520631814,-13.52111317158398,3516.0
-71.9939102625941,-13.52108593104034,3516.0
-71.99389530515117,-13.52105866471893,3516.0
-71.9938712112306,-13.52103208873193,3516.0
-71.99385980698108,-13.52099973978714,3516.0
-71.99384480371477,-13.52097239333532,3516.0
-71.99383337617157,-13.52093998572431,3516.0
-71.99383304372812,-13.52091621261424,3516.0
-71.99383630205293,-13.52088738541053,3516.0
-71.99384511643275,-13.52086288195121,3516.0
-71.99384282508211,-13.52082968071191,3549.0
-71.99385164589272,-13.52080515171134,3549.0
-71.99386047002707,-13.5207806133921,3549.0
-71.99386374062937,-13.52075170960612,3549.0
-71.993872515604,-13.52072459895733,3549.0
-71.9938756249564,-13.5206878627497,3549.0
-71.99388434797171,-13.52065656393598,3549.0
-71.99389309715899,-13.52062517339878,3549.0
-71.9938962582159,-13.52058808330272,3549.0
-71.99390505286316,-13.52055648759709,3549.0
-71.99390825351321,-13.52051945694293,3549.0
-71.99391709974017,-13.52048805853364,3549.0
-71.99392396164194,-13.52044441662884,3549.0
-71.99393286110157,-13.52041280358927,3549.0
-71.99394178514692,-13.5203811023734,3549.0
-71.99394507504712,-13.52034355908678,3549.0
-71.99395404475567,-13.52031165906249,3549.0
-71.99396504077517,-13.52029201372164,3549.0
-71.993972060992,-13.52024758551168,3549.0
-71.99398310297576,-13.52022783251146,3549.0
-71.99399586520627,-13.52018899460553,3549.0
-71.9940049685724,-13.52015665603682,3549.0
-71.99402349966661,-13.52012346206278,3549.0
